Date,Capesize_Proxy_GNK,Panamax_Proxy_EDRY,Supramax_Proxy_SBLK
2026-08-31,26.0100002288818,50.2799987792969,30.6049995422363
2026-08-27,25.8099994659424,49.3400001525879,30.4200000762939
2026-08-26,25.8299999237061,48.5999984741211,29.5799999237061
2026-08-25,27.3199996948242,53.689998626709,31.1100006103516
2026-08-24,26.9400005340576,51.7299995422363,30.7000007629395
2026-08-21,26.5200004577637,46.8499984741211,30.5
2026-08-20,26.0900001525879,43.4300003051758,29.1599998474121
2026-08-19,26.2000007629395,43.2900009155273,29.2667064666748
2026-08-18,26.0499992370605,41.4949989318848,29.2279033660889
2026-08-17,26.2199993133545,39.9500007629395,29.1891021728516
2026-08-14,25.5399990081787,36.5699996948242,28.1802387237549
2026-08-13,25.2006301879883,38.6399993896484,27.8795204162598
2026-08-12,24.4928016662598,38.1599998474121,27.0549697875977
2026-08-11,23.969202041626,38.4000015258789,26.8415565490723
2026-08-10,24.2988758087158,36.3899993896484,27.5691013336182
2026-08-07,24.5606746673584,34.7200012207031,28.0347290039063
2026-08-06,24.3667488098145,29.8199996948242,27.7340126037598
2026-08-05,24.7933864593506,26.7600002288818,27.1228733062744
2026-08-04,25.1812362670898,26.3799991607666,27.3750896453857
2026-08-03,25.4430370330811,25.1800003051758,27.8698196411133
2026-07-31,24.7642974853516,26.5100002288818,27.8892211914063
2026-07-30,25.1909332275391,25.5100002288818,28.2772445678711
2026-07-29,24.4540157318115,24.2900009155273,26.569938659668
2026-07-28,24.6188526153564,24.3500003814697,27.1616764068604
2026-07-27,24.3279647827148,24.7999992370605,26.2886238098145
2026-07-24,25.9569396972656,24.1000003814697,27.2974834442139
2026-07-23,24.9679183959961,24.8999996185303,26.3371257781982
2026-07-22,24.6576385498047,24.7399997711182,25.9685039520264
2026-07-21,24.5897636413574,24.1200008392334,25.881196975708
2026-07-20,24.4928016662598,22.3500003814697,25.3088626861572
2026-07-17,23.3874263763428,22.1100006103516,24.1544895172119
2026-07-16,24.502498626709,22.3500003814697,25.2409591674805
2026-07-15,24.4055347442627,22.9899997711182,25.5610771179199
2026-07-14,24.6770305633545,23.3799991607666,25.7647895812988
2026-07-13,24.5800685882568,22.5400009155273,25.7453899383545
2026-07-10,24.7352085113525,22,25.5610771179199
2026-07-09,23.5716533660889,21.75,25.1051483154297
2026-07-08,24.3958377838135,22.0799999237061,25.6677837371826
2026-07-07,24.2697868347168,21.6100006103516,25.4155693054199
2026-07-06,24.221305847168,22.8199996948242,25.3379650115967
2026-07-02,23.7558841705322,22.0900001525879,24.3970050811768
2026-07-01,23.9110240936279,21.6000003814697,24.0671844482422
2026-06-30,24.027379989624,21.8899993896484,24.2223949432373
2026-06-29,23.6492252349854,22.1399993896484,23.9022750854492
2026-06-26,22.8541297912598,22.0100002288818,23.6694602966309
2026-06-25,22.7377758026123,22.9500007629395,24.5716171264648
2026-06-24,23.4262104034424,24,24.9014377593994
2026-06-23,24.0952548980713,23.1800003051758,26.1722145080566
2026-06-22,22.8541297912598,20.1599998474121,25.7259883880615
2026-06-18,22.9607887268066,23.1000003814697,25.0372447967529
2026-06-17,22.6214199066162,24.25,25.9491024017334
2026-06-16,22.7959518432617,25.3899993896484,25.8326930999756
2026-06-15,23.0480556488037,25.0599994659424,26.2595195770264
2026-06-12,23.3292465209961,22.4599990844727,26.3371257781982
2026-06-11,22.9704856872559,21.9400005340576,25.8520946502686
2026-06-10,22.7862567901611,22.0799999237061,25.2998218536377
2026-06-09,23.14501953125,22.2700004577637,25.4712181091309
2026-06-08,23.2904624938965,21.8099994659424,25.4426517486572
2026-06-05,23.940113067627,22.4099998474121,26.0139675140381
2026-06-04,23.3583374023438,22.1499996185303,25.8520946502686
2026-06-03,23.2613735198975,22.5400009155273,25.8711395263672
2026-06-02,23.4262104034424,23.1399993896484,26.0901432037354
2026-06-01,23.4359073638916,23.2199993133545,26.861421585083
2026-05-29,23.3292465209961,22.9899997711182,25.9473133087158
2026-05-28,23.3583374023438,22.7099990844727,25.8806610107422
2026-05-27,22.611722946167,23.3700008392334,26.0234909057617
2026-05-26,22.8832187652588,23.5949993133545,26.2329730987549
